Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event in this window(ms), Entire Average latency per event for the run(ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,350,350,28.493,365.7413,365.7413,10000,365,365,365,365,365,365
2,5793,661,30.221,292.4452,329.09325,20000,365,365,365,293,293,293
3,5154,932,32.162,527.9138,395.36676666666665,30000,395,395,395,527,527,527
4,7189,1192,33.554,814.7994,500.224925,40000,501,501,501,815,815,815
5,12062,1454,34.385,717.8968,543.7593,50000,543,543,543,719,719,719
6,12269,1704,35.201,611.98,555.1294166666667,60000,543,555,555,611,611,611
7,12195,1943,36.021,732.6743,580.4929714285714,70000,555,583,583,735,735,735
8,10881,2165,36.94,948.8415,626.5365375,80000,583,627,627,951,951,951
9,11695,2381,37.795,990.4134,666.9673,90000,627,667,667,991,991,991
10,11185,2584,38.69,1132.143,713.48487,100000,667,715,715,1135,1135,1135
11,10235,2773,39.668,1357.799,772.0588818181818,110000,715,715,775,1359,1359,1359
12,14367,2972,40.364,1681.41,847.8381416666666,120000,775,775,847,1687,1687,1687
13,13986,3164,41.079,1842.5999,924.3582769230769,130000,847,847,927,1847,1847,1847
14,15360,3354,41.73,1838.8955,989.6823642857142,140000,927,927,991,1839,1839,1839
15,11037,3518,42.636,2037.9888,1059.56946,150000,991,991,1063,2039,2039,2039
16,12239,3682,43.454,2428.4072,1145.12181875,160000,991,1063,1151,2431,2431,2431
17,11248,3833,44.343,2702.5621,1236.7359529411765,170000,1063,1151,1239,2703,2703,2703
18,10869,3976,45.263,3176.0669,1344.476561111111,180000,1151,1239,1351,3183,3183,3183
19,13623,4130,45.998,3353.5643,1450.2180210526317,190000,1239,1351,1455,3359,3359,3359
20,12391,4272,46.806,3441.7728,1549.79576,200000,1351,1455,1551,3455,3455,3455
21,13192,4415,47.564,3626.8313,1648.7022142857143,210000,1455,1551,1655,3631,3631,3631
22,15060,4561,48.229,3741.472,1743.8281136363637,220000,1551,1655,1743,3743,3743,3743
23,15625,4706,48.869,3798.3159,1833.1536695652173,230000,1655,1743,1839,3807,3807,3807
24,14556,4843,49.556,3865.5567,1917.8371291666667,240000,1743,1839,1919,3871,3871,3871
25,16181,4982,50.174,3951.6996,1999.191628,250000,1839,1919,1999,3951,3951,3951
26,12091,5097,51.001,4162.1136,2082.380934615385,260000,1839,1999,2095,4191,4191,4191
27,13888,5220,51.722,4354.9894,2166.5516185185184,270000,1919,2095,2175,4383,4383,4383
28,13831,5338,52.445,4531.1891,2251.002957142857,280000,1999,2175,2255,4543,4543,4543
29,15625,5462,53.085,4670.916,2334.448234482759,290000,2095,2255,2335,4671,4671,4671
30,14513,5578,53.774,4773.9723,2415.7657033333335,300000,2175,2335,2415,4799,4799,4799
31,13605,5687,54.509,4980.2101,2498.4897161290323,310000,2255,2335,2511,4991,4991,4991
32,14409,5796,55.203,5267.2744,2585.0142375,320000,2335,2415,2591,5279,5279,5279
33,15649,5909,55.842,5476.2989,2672.628924242424,330000,2415,2511,2687,5503,5503,5503
34,13623,6009,56.576,5635.4267,2759.770035294118,340000,2511,2591,2767,5663,5663,5663
35,16420,6120,57.185,5771.5576,2845.821108571429,350000,2591,2687,2847,5791,5791,5791
36,14705,6221,57.865,5833.8644,2928.822311111111,360000,2591,2767,2943,5855,5855,5855
37,15847,6325,58.496,5926.4454,3009.8391513513516,370000,2687,2847,3023,5951,5951,5951
38,14492,6420,59.186,6134.05,3092.0552263157897,380000,2767,2943,3103,6143,6143,6143
39,17006,6524,59.774,6221.7181,3172.3029923076924,390000,2847,3023,3183,6239,6239,6239
40,16339,6624,60.386,6351.4888,3251.7826375,400000,2943,3103,3263,6367,6367,6367
41,13986,6710,61.102,6468.7138,3330.2443731707317,410000,3023,3183,3343,6495,6495,6495
42,16722,6807,61.7,6503.114,3405.7888880952382,420000,3103,3263,3407,6527,6527,6527
43,14858,6893,62.375,6653.7502,3481.3228720930233,430000,3183,3343,3487,6655,6655,6655
44,14992,6979,63.043,6863.1905,3558.1835,440000,3263,3407,3567,6879,6879,6879
45,19342,7079,63.561,6897.3145,3632.386411111111,450000,3343,3487,3647,6911,6911,6911
46,16556,7169,64.165,6855.0696,3702.4447413043476,460000,3343,3567,3711,6879,6879,6879
47,13458,7241,64.908,6821.5353,3768.808370212766,470000,3407,3647,3775,6847,6847,6847
48,16393,7326,65.518,6961.624,3835.3253625,480000,3487,3711,3839,6975,6975,6975
49,16638,7410,66.12,6895.4951,3897.777806122449,490000,3567,3775,3903,6911,6911,6911
50,16638,7493,66.721,6620.4652,3952.231554,500000,3647,3839,3967,6623,6623,6623
51,16103,7573,67.343,6741.2546,4006.9182803921567,510000,3711,3839,3967,6751,6751,6751
52,17421,7656,67.917,6819.8836,4061.0137673076924,520000,3775,3903,4015,6847,6847,6847
53,15082,7728,68.58,6597.4341,4108.8707547169815,530000,3839,3967,4063,6623,6623,6623
54,15313,7799,69.233,6632.5186,4155.604974074074,540000,3903,4015,4127,6655,6655,6655
55,19230,7884,69.754,6700.8695,4201.882510909091,550000,3967,4063,4159,6719,6719,6719
